Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR2064018	GSM1712272: footprints uninfected fibroblasts treated with type 1 interferon; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	51316	1446480000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR206/SRR2064018/SRR2064018.sra	SRR2064018.sra	SRR2064018_GSM1712272_footprints_uninfected_fibroblasts_treated_with_type_1_interferon_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/008/SRR2064018/SRR2064018.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR206/008/SRR2064018/SRR2064018.fastq.gz	SRR2064018.fastq.gz	SRR2064018_GSM1712272_footprints_uninfected_fibroblasts_treated_with_type_1_interferon_Homo_sapiens_RNA-Seq.fastq.gz
SRR2064017	GSM1712271: footprints uninfected fibroblasts; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	68445	1446480000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR206/SRR2064017/SRR2064017.sra	SRR2064017.sra	SRR2064017_GSM1712271_footprints_uninfected_fibroblasts_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/007/SRR2064017/SRR2064017.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR206/007/SRR2064017/SRR2064017.fastq.gz	SRR2064017.fastq.gz	SRR2064017_GSM1712271_footprints_uninfected_fibroblasts_Homo_sapiens_RNA-Seq.fastq.gz
SRR2064022	GSM1712276: footprints fibroblasts infected for 24hr; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	20824	1446480000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR206/SRR2064022/SRR2064022.sra	SRR2064022.sra	SRR2064022_GSM1712276_footprints_fibroblasts_infected_for_24hr_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/002/SRR2064022/SRR2064022.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR206/002/SRR2064022/SRR2064022.fastq.gz	SRR2064022.fastq.gz	SRR2064022_GSM1712276_footprints_fibroblasts_infected_for_24hr_Homo_sapiens_RNA-Seq.fastq.gz
SRR2064020	GSM1712274: footprints fibroblasts infected for 5hr; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	47133	1446480000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR206/SRR2064020/SRR2064020.sra	SRR2064020.sra	SRR2064020_GSM1712274_footprints_fibroblasts_infected_for_5hr_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/000/SRR2064020/SRR2064020.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR206/000/SRR2064020/SRR2064020.fastq.gz	SRR2064020.fastq.gz	SRR2064020_GSM1712274_footprints_fibroblasts_infected_for_5hr_Homo_sapiens_RNA-Seq.fastq.gz
SRR2064021	GSM1712275: footprints fibroblasts infected for 12hr; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21505	1446480000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR206/SRR2064021/SRR2064021.sra	SRR2064021.sra	SRR2064021_GSM1712275_footprints_fibroblasts_infected_for_12hr_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/001/SRR2064021/SRR2064021.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR206/001/SRR2064021/SRR2064021.fastq.gz	SRR2064021.fastq.gz	SRR2064021_GSM1712275_footprints_fibroblasts_infected_for_12hr_Homo_sapiens_RNA-Seq.fastq.gz
SRR2064019	GSM1712273: footprints fibroblasts infected with irradiated virus; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	41754	1446480000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR206/SRR2064019/SRR2064019.sra	SRR2064019.sra	SRR2064019_GSM1712273_footprints_fibroblasts_infected_with_irradiated_virus_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/009/SRR2064019/SRR2064019.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR206/009/SRR2064019/SRR2064019.fastq.gz	SRR2064019.fastq.gz	SRR2064019_GSM1712273_footprints_fibroblasts_infected_with_irradiated_virus_Homo_sapiens_RNA-Seq.fastq.gz
SRR2064023	GSM1712277: footprints fibroblasts infected for 72hr; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	39656	1446480000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR206/SRR2064023/SRR2064023.sra	SRR2064023.sra	SRR2064023_GSM1712277_footprints_fibroblasts_infected_for_72hr_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/003/SRR2064023/SRR2064023.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR206/003/SRR2064023/SRR2064023.fastq.gz	SRR2064023.fastq.gz	SRR2064023_GSM1712277_footprints_fibroblasts_infected_for_72hr_Homo_sapiens_RNA-Seq.fastq.gz
SRR2064024	GSM1712278: mRNA uninfected fibroblasts; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	49241	1446480000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR206/SRR2064024/SRR2064024.sra	SRR2064024.sra	SRR2064024_GSM1712278_mRNA_uninfected_fibroblasts_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/004/SRR2064024/SRR2064024.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR206/004/SRR2064024/SRR2064024.fastq.gz	SRR2064024.fastq.gz	SRR2064024_GSM1712278_mRNA_uninfected_fibroblasts_Homo_sapiens_RNA-Seq.fastq.gz
SRR2064026	GSM1712280: mRNA fibroblasts infected with irradiated virus; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	74985	1446480000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR206/SRR2064026/SRR2064026.sra	SRR2064026.sra	SRR2064026_GSM1712280_mRNA_fibroblasts_infected_with_irradiated_virus_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/006/SRR2064026/SRR2064026.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR206/006/SRR2064026/SRR2064026.fastq.gz	SRR2064026.fastq.gz	SRR2064026_GSM1712280_mRNA_fibroblasts_infected_with_irradiated_virus_Homo_sapiens_RNA-Seq.fastq.gz
SRR2064025	GSM1712279: mRNA uninfected fibroblasts treated with type 1 interferon; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	55555	1446480000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR206/SRR2064025/SRR2064025.sra	SRR2064025.sra	SRR2064025_GSM1712279_mRNA_uninfected_fibroblasts_treated_with_type_1_interferon_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/005/SRR2064025/SRR2064025.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR206/005/SRR2064025/SRR2064025.fastq.gz	SRR2064025.fastq.gz	SRR2064025_GSM1712279_mRNA_uninfected_fibroblasts_treated_with_type_1_interferon_Homo_sapiens_RNA-Seq.fastq.gz
