Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR091655	GSM652279: DGE_HeH_1	Illumina Genome Analyzer II	1387	1324396800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR091/SRR091655/SRR091655.sra	SRR091655.sra	SRR091655_GSM652279_DGE_HeH_1.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR091/SRR091655/SRR091655.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR091/SRR091655/SRR091655.fastq.gz	SRR091655.fastq.gz	SRR091655_GSM652279_DGE_HeH_1.fastq.gz
SRR091654	GSM652278: DGE_dic9-20_3	Illumina Genome Analyzer II	2528	1324396800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR091/SRR091654/SRR091654.sra	SRR091654.sra	SRR091654_GSM652278_DGE_dic9-20_3.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR091/SRR091654/SRR091654.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR091/SRR091654/SRR091654.fastq.gz	SRR091654.fastq.gz	SRR091654_GSM652278_DGE_dic9-20_3.fastq.gz
SRR091656	GSM652280: DGE_HeH_2a	Illumina Genome Analyzer II	3975	1324396800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR091/SRR091656/SRR091656.sra	SRR091656.sra	SRR091656_GSM652280_DGE_HeH_2a.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR091/SRR091656/SRR091656.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR091/SRR091656/SRR091656.fastq.gz	SRR091656.fastq.gz	SRR091656_GSM652280_DGE_HeH_2a.fastq.gz
SRR091653	GSM652277: DGE_dic9-20_2	Illumina Genome Analyzer II	4254	1324396800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR091/SRR091653/SRR091653.sra	SRR091653.sra	SRR091653_GSM652277_DGE_dic9-20_2.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR091/SRR091653/SRR091653.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR091/SRR091653/SRR091653.fastq.gz	SRR091653.fastq.gz	SRR091653_GSM652277_DGE_dic9-20_2.fastq.gz
SRR091652	GSM652276: DGE_dic9-20_1	Illumina Genome Analyzer II	2386	1324396800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR091/SRR091652/SRR091652.sra	SRR091652.sra	SRR091652_GSM652276_DGE_dic9-20_1.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR091/SRR091652/SRR091652.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR091/SRR091652/SRR091652.fastq.gz	SRR091652.fastq.gz	SRR091652_GSM652276_DGE_dic9-20_1.fastq.gz
SRR091657	GSM652281: DGE_HeH_2b	Illumina Genome Analyzer II	2850	1324396800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR091/SRR091657/SRR091657.sra	SRR091657.sra	SRR091657_GSM652281_DGE_HeH_2b.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR091/SRR091657/SRR091657.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR091/SRR091657/SRR091657.fastq.gz	SRR091657.fastq.gz	SRR091657_GSM652281_DGE_HeH_2b.fastq.gz
SRR091661	GSM652285: DGE_HeH_6	Illumina Genome Analyzer II	2250	1324396800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR091/SRR091661/SRR091661.sra	SRR091661.sra	SRR091661_GSM652285_DGE_HeH_6.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR091/SRR091661/SRR091661.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR091/SRR091661/SRR091661.fastq.gz	SRR091661.fastq.gz	SRR091661_GSM652285_DGE_HeH_6.fastq.gz
SRR091659	GSM652283: DGE_HeH_4	Illumina Genome Analyzer II	2018	1324396800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR091/SRR091659/SRR091659.sra	SRR091659.sra	SRR091659_GSM652283_DGE_HeH_4.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR091/SRR091659/SRR091659.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR091/SRR091659/SRR091659.fastq.gz	SRR091659.fastq.gz	SRR091659_GSM652283_DGE_HeH_4.fastq.gz
SRR091662	GSM652286: DGE_HeH_7	Illumina Genome Analyzer II	2586	1324396800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR091/SRR091662/SRR091662.sra	SRR091662.sra	SRR091662_GSM652286_DGE_HeH_7.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR091/SRR091662/SRR091662.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR091/SRR091662/SRR091662.fastq.gz	SRR091662.fastq.gz	SRR091662_GSM652286_DGE_HeH_7.fastq.gz
SRR091658	GSM652282: DGE_HeH_3	Illumina Genome Analyzer II	1769	1324396800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR091/SRR091658/SRR091658.sra	SRR091658.sra	SRR091658_GSM652282_DGE_HeH_3.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR091/SRR091658/SRR091658.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR091/SRR091658/SRR091658.fastq.gz	SRR091658.fastq.gz	SRR091658_GSM652282_DGE_HeH_3.fastq.gz
