Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR6410617	total RNA-seq of blood	NextSeq 500	75316	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410617/SRR6410617.sra	SRR6410617.sra	SRR6410617_total_RNA-seq_of_blood.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/007/SRR6410617/SRR6410617.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/007/SRR6410617/SRR6410617.fastq.gz	SRR6410617.fastq.gz	SRR6410617_total_RNA-seq_of_blood.fastq.gz
SRR6410618	total RNA-seq of blood	NextSeq 500	75371	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410618/SRR6410618.sra	SRR6410618.sra	SRR6410618_total_RNA-seq_of_blood.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/008/SRR6410618/SRR6410618.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/008/SRR6410618/SRR6410618.fastq.gz	SRR6410618.fastq.gz	SRR6410618_total_RNA-seq_of_blood.fastq.gz
SRR6410615	total RNA-seq of blood	NextSeq 500	75333	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410615/SRR6410615.sra	SRR6410615.sra	SRR6410615_total_RNA-seq_of_blood.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/005/SRR6410615/SRR6410615.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/005/SRR6410615/SRR6410615.fastq.gz	SRR6410615.fastq.gz	SRR6410615_total_RNA-seq_of_blood.fastq.gz
SRR6410616	total RNA-seq of blood	NextSeq 500	75395	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410616/SRR6410616.sra	SRR6410616.sra	SRR6410616_total_RNA-seq_of_blood.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/006/SRR6410616/SRR6410616.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/006/SRR6410616/SRR6410616.fastq.gz	SRR6410616.fastq.gz	SRR6410616_total_RNA-seq_of_blood.fastq.gz
SRR6410614	mRNA-seq of blood	NextSeq 500	75288	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410614/SRR6410614.sra	SRR6410614.sra	SRR6410614_mRNA-seq_of_blood.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/004/SRR6410614/SRR6410614.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/004/SRR6410614/SRR6410614.fastq.gz	SRR6410614.fastq.gz	SRR6410614_mRNA-seq_of_blood.fastq.gz
SRR6410613	mRNA-seq of blood	NextSeq 500	75179	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410613/SRR6410613.sra	SRR6410613.sra	SRR6410613_mRNA-seq_of_blood.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/003/SRR6410613/SRR6410613.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/003/SRR6410613/SRR6410613.fastq.gz	SRR6410613.fastq.gz	SRR6410613_mRNA-seq_of_blood.fastq.gz
SRR6410612	mRNA-seq of blood	NextSeq 500	75313	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410612/SRR6410612.sra	SRR6410612.sra	SRR6410612_mRNA-seq_of_blood.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/002/SRR6410612/SRR6410612.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/002/SRR6410612/SRR6410612.fastq.gz	SRR6410612.fastq.gz	SRR6410612_mRNA-seq_of_blood.fastq.gz
SRR6410607	total RNA-seq of colon	NextSeq 500	75343	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410607/SRR6410607.sra	SRR6410607.sra	SRR6410607_total_RNA-seq_of_colon.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/007/SRR6410607/SRR6410607.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/007/SRR6410607/SRR6410607.fastq.gz	SRR6410607.fastq.gz	SRR6410607_total_RNA-seq_of_colon.fastq.gz
SRR6410609	total RNA-seq of colon	NextSeq 500	75363	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410609/SRR6410609.sra	SRR6410609.sra	SRR6410609_total_RNA-seq_of_colon.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/009/SRR6410609/SRR6410609.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/009/SRR6410609/SRR6410609.fastq.gz	SRR6410609.fastq.gz	SRR6410609_total_RNA-seq_of_colon.fastq.gz
SRR6410610	total RNA-seq of colon	NextSeq 500	75386	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410610/SRR6410610.sra	SRR6410610.sra	SRR6410610_total_RNA-seq_of_colon.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/000/SRR6410610/SRR6410610.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/000/SRR6410610/SRR6410610.fastq.gz	SRR6410610.fastq.gz	SRR6410610_total_RNA-seq_of_colon.fastq.gz
SRR6410608	total RNA-seq of colon	NextSeq 500	75336	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410608/SRR6410608.sra	SRR6410608.sra	SRR6410608_total_RNA-seq_of_colon.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/008/SRR6410608/SRR6410608.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/008/SRR6410608/SRR6410608.fastq.gz	SRR6410608.fastq.gz	SRR6410608_total_RNA-seq_of_colon.fastq.gz
SRR6410611	mRNA-seq of blood	NextSeq 500	75232	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410611/SRR6410611.sra	SRR6410611.sra	SRR6410611_mRNA-seq_of_blood.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/001/SRR6410611/SRR6410611.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/001/SRR6410611/SRR6410611.fastq.gz	SRR6410611.fastq.gz	SRR6410611_mRNA-seq_of_blood.fastq.gz
SRR6410603	mRNA-seq of colon	NextSeq 500	75432	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410603/SRR6410603.sra	SRR6410603.sra	SRR6410603_mRNA-seq_of_colon.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/003/SRR6410603/SRR6410603.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/003/SRR6410603/SRR6410603.fastq.gz	SRR6410603.fastq.gz	SRR6410603_mRNA-seq_of_colon.fastq.gz
SRR6410605	mRNA-seq of colon	NextSeq 500	75348	1513785600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR641/SRR6410605/SRR6410605.sra	SRR6410605.sra	SRR6410605_mRNA-seq_of_colon.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR641/005/SRR6410605/SRR6410605.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR641/005/SRR6410605/SRR6410605.fastq.gz	SRR6410605.fastq.gz	SRR6410605_mRNA-seq_of_colon.fastq.gz
